schema,question,chosen
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What is the average age of employees in Finance?,"SELECT AVG(age) FROM employees WHERE department = ""Finance"""
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which departments have more than 11 employees?,INVALID QUERY
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What employees joined after 2018?,UNKNOWN
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",How many projects started in 2015?,SELECT project_name FROM projects WHERE start_year < 2015
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Who are the employees in the HR department?,UNKNOWN
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which departments have more than 19 employees?,INVALID QUERY
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which departments have a manager with ID less than 203?,SELECT department_name FROM departments WHERE manager_id < 203
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What employees joined after 2021?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What projects started before 2001?,SELECT project_name FROM projects WHERE start_year < 2001
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees were present on Monday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Monday"" AND status = ""Present"""
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What projects started before 2022?,SELECT project_name FROM projects WHERE start_year < 2022
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees were present on Thursday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Thursday"" AND status = ""Present"""
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What is the average age of employees in HR?,"SELECT AVG(age) FROM employees WHERE department = ""HR"""
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What employees joined after 2010?,UNKNOWN
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What projects started before 2003?,SELECT project_name FROM projects WHERE start_year < 2003
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which departments have more than 18 employees?,INVALID QUERY
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What projects started before 2011?,SELECT project_name FROM projects WHERE start_year < 2011
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",How many projects started in 2011?,SELECT project_name FROM projects WHERE start_year < 2011
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Who are the employees in the HR department?,UNKNOWN
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What projects started before 2011?,SELECT project_name FROM projects WHERE start_year < 2011
